index,Key,Year,subject,bat_species,Bat_names (following current nomemclature),Bat Family,Virus,Virus Family,Bioregions,BIOG-Support
1,E3DPXG8N,2019,cells,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,EBOV,Filoviridae,N,
2,3AXDS78K,2003,cells,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,feline foamy virus,Retroviridae,Y,https://doi.org/10.1186/s12977-017-0379-9
3,ADB9EPP8,2014,cells,Hypsignathus monstrosus,Hypsignathus monstrosus,Pteropodidae,African HeV (strain M74),Paramyxoviridae,Y,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0030346
4,ADB9EPP8,2014,cells,Eidolon helvum,Eidolon helvum,Pteropodidae,African HeV (strain M74),Paramyxoviridae,Y,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0030346
5,JKXAAJEC,2015,cells,Myotis davidii,Myotis davidii,Vespertilionodae,SeV,Paramyxoviridae,Y,"Oriental and Sino-japanese region, virus is used as a test bench in mutliple species"
6,JKXAAJEC,2015,cells,Rhinolophus sinicus,Rhinolophus sinicus,Rhinolophidae,SeV,Paramyxoviridae,Y,"Oriental and Sino-japanese region, virus is used as a test bench in mutliple species"
7,2KPIKETK,2013,cells,Myotis davidii,Myotis davidii,Vespertilionodae,bat adenovirus-TJM (BtAdV-TJM),Adenoviridae,Y,second isolation of this pathogen was in pipistrellus pipistrellus https://wwwnc.cdc.gov/eid/article/15/12/09-0646_article
8,LB8R2ATD,2010,cells,Rousettus aegyptiacus,Rousettus aegyptiacus,Pteropodidae,ZEBOV,Filoviridae,Y,circulating in areas where the bat is endemic
9,LB8R2ATD,2010,cells,Rousettus aegyptiacus,Rousettus aegyptiacus,Pteropodidae,MARV,Filoviridae,Y,circulating in areas where the bat is endemic
10,FIVTPI6B,2023,cells,Pteropus dasymallus,Pteropus dasymallus,Pteropodidae,HIV-1,Retroviridae,NA,Human virus
11,FIVTPI6B,2023,cells,Pteropus dasymallus,Pteropus dasymallus,Pteropodidae,SIVmac,Retroviridae,Y,Species range is in Sino-Japanese Realm
12,FIVTPI6B,2023,cells,Pteropus dasymallus,Pteropus dasymallus,Pteropodidae,MuLV,Retroviridae,NA,Rodent Pathogen
13,FIVTPI6B,2023,cells,Rousettus leschenaultii,Rousettus leschenaultii,Pteropodidae,HIV-1,Retroviridae,NA,Human virus
14,FIVTPI6B,2023,cells,Rousettus leschenaultii,Rousettus leschenaultii,Pteropodidae,SIVmac,Retroviridae,Y,SIV not endemic to the area
15,FIVTPI6B,2023,cells,Rousettus leschenaultii,Rousettus leschenaultii,Pteropodidae,MuLV,Retroviridae,NA,Rodent Pathogen
16,FIVTPI6B,2023,cells,Rousettus aegyptiacus,Rousettus aegyptiacus,Pteropodidae,HIV-1,Retroviridae,NA,Human virus
17,FIVTPI6B,2023,cells,Rousettus aegyptiacus,Rousettus aegyptiacus,Pteropodidae,SIVmac,Retroviridae,N,
18,FIVTPI6B,2023,cells,Rousettus aegyptiacus,Rousettus aegyptiacus,Pteropodidae,MuLV,Retroviridae,NA,Rodent Pathogen
19,FIVTPI6B,2023,cells,Epomophorus crypturus,Epomophorus crypturus,Pteropodidae,HIV-1,Retroviridae,NA,Human virus
20,FIVTPI6B,2023,cells,Epomophorus crypturus,Epomophorus crypturus,Pteropodidae,SIVmac,Retroviridae,N,
21,FIVTPI6B,2023,cells,Epomophorus crypturus,Epomophorus crypturus,Pteropodidae,MuLV,Retroviridae,NA,Rodent Pathogen
22,FIVTPI6B,2023,cells,Eidolon helvum,Eidolon helvum,Pteropodidae,HIV-1,Retroviridae,NA,Human virus
23,FIVTPI6B,2023,cells,Eidolon helvum,Eidolon helvum,Pteropodidae,SIVmac,Retroviridae,N,
24,FIVTPI6B,2023,cells,Eidolon helvum,Eidolon helvum,Pteropodidae,MuLV,Retroviridae,NA,Rodent Pathogen
25,FIVTPI6B,2023,cells,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,Rhinolophidae,HIV-1,Retroviridae,NA,Human virus
26,FIVTPI6B,2023,cells,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,Rhinolophidae,SIVmac,Retroviridae,Y,circulating in areas where the bat is endemic
